ID,Name,Concepticon_ID,Concepticon_Gloss,concepticon_proposed,semantic_field
SonntagN,Sonntag::N,1699,SUNDAY,SUNDAY,CALENDAR
groA,groß::A,1202,BIG,BIG,QUALITIES
kleinA,klein::A,1246,SMALL,SMALL,QUALITIES
langA,lang::A,1203,LONG,LONG,QUALITIES
kurzA,kurz::A,1645,SHORT,SHORT,QUALITIES
breitA,breit::A,1243,WIDE,WIDE,QUALITIES
schmalA,schmal::A,1267,NARROW,NARROW,QUALITIES
dichtA,dicht::A,2239,DENSE,DENSE,QUALITIES
dickGegenstandA,dick[Gegenstand]::A,1244,THICK,THICK,QUALITIES
dunnA,dünn::A,2249,THIN (OF SHAPE OF OBJECT),THIN (OF SHAPE OF OBJECT),QUALITIES
feinA,fein::A,2157,FINE OR THIN,FINE_OR_THIN,QUALITIES
festA,fest::A,3003,SOLID,SOLID,QUALITIES
flachA,flach::A,1633,FLAT,FLAT,QUALITIES
glattA,glatt::A,1234,SMOOTH,SMOOTH,QUALITIES
hartA,hart::A,1884,HARD,HARD,QUALITIES
weichA,weich::A,1856,SOFT,SOFT,QUALITIES
rundA,rund::A,1395,ROUND,ROUND,QUALITIES
spitzA,spitz::A,372,POINTED,POINTED,QUALITIES
scharfA,scharf::A,1396,SHARP,SHARP,QUALITIES
stumpfA,stumpf::A,379,BLUNT,BLUNT,QUALITIES
schwerA,schwer::A,1210,HEAVY,HEAVY,QUALITIES
schonA,schön::A,1427,BEAUTIFUL,BEAUTIFUL,QUALITIES
heiA,heiß::A,1286,HOT,HOT,QUALITIES
warmA,warm::A,1232,WARM,WARM,QUALITIES
kaltA,kalt::A,1287,COLD,COLD,QUALITIES
kuhlA,kühl::A,2483,COLD (OF WEATHER),COOL,QUALITIES
frischA,frisch::A,243,FRESH,FRESH,QUALITIES
feuchtA,feucht::A,2998,DAMP,DAMP,QUALITIES
nassA,nass::A,1726,WET,WET,QUALITIES
trockenA,trocken::A,1398,DRY,DRY,NATURE
vollA,voll::A,1429,FULL,FULL,QUALITIES
leerA,leer::A,1624,EMPTY,EMPTY,QUALITIES
offenA,offen::A,,,OPEN_(OF_DOOR),QUALITIES
geschlossenA,geschlossen::A,589,CLOSED,CLOSED,QUALITIES
sauberA,sauber::A,704,CLEAN,CLEAN,HYGIENE
schmutzigA,schmutzig::A,1230,DIRTY,DIRTY,QUALITIES
rohA,roh::A,1959,RAW,RAW,QUALITIES
reifA,reif::A,178,RIPE,RIPE,QUALITIES
leckerA,lecker::A,1813,TASTY,TASTY,QUALITIES
suA,süß::A,717,SWEET,SWEET,QUALITIES
bitterA,bitter::A,887,BITTER,BITTER,QUALITIES
sauerA,sauer::A,1906,SOUR,SOUR,QUALITIES
hellA,hell::A,679,BRIGHT,BRIGHT,SENSES
dunkelA,dunkel::A,706,DARK,DARK,SENSES
schwarzA,schwarz::A,163,BLACK,BLACK,SENSES
weiA,weiß::A,1335,WHITE,WHITE,SENSES
rotA,rot::A,156,RED,RED,SENSES
gelbA,gelb::A,1424,YELLOW,YELLOW,SENSES
blauA,blau::A,837,BLUE,BLUE,SENSES
grunA,grün::A,1425,GREEN,GREEN,SENSES
grauA,grau::A,153,GREY,GREY,SENSES
buntA,bunt::A,2997,COLORFUL,COLORFUL,SENSES
billigA,billig::A,1887,CHEAP,CHEAP,TRADE
teuerA,teuer::A,1426,EXPENSIVE,EXPENSIVE,TRADE
wertvollA,wertvoll::A,3002,PRECIOUS,PRECIOUS,TRADE
blindA,blind::A,1653,BLIND,BLIND,HUMAN BODY
taubA,taub::A,996,DEAF,DEAF,HUMAN BODY
kraftigA,kräftig::A,3001,POWERFUL,POWERFUL,HUMAN BODY
starkA,stark::A,785,STRONG,STRONG,HUMAN BODY
schwachA,schwach::A,1601,WEAK,WEAK,HUMAN BODY
fettA,fett::A,1279,FAT (OBESE),FAT_(OBESE),HUMAN BODY
schlankA,schlank::A,1400,THIN (SLIM),THIN_(SLIM),HUMAN BODY
hubschA,hübsch::A,2410,GOOD-LOOKING,GOOD-LOOKING,HUMAN BODY
boseA,böse::A,45,EVIL,EVIL,PERSONALITY
dummA,dumm::A,1518,STUPID,STUPID,PERSONALITY
faulA,faul::A,1564,LAZY,LAZY,PERSONALITY
fleiigA,fleißig::A,2077,DILIGENT,DILIGENT,PERSONALITY
geizigA,geizig::A,1774,STINGY,STINGY,PERSONALITY
klugA,klug::A,1310,CLEVER,CLEVER,PERSONALITY
geschicktA,geschickt::A,1824,DEXTEROUS,DEXTEROUS,PERSONALITY
liebA,lieb::A,2470,DEAR,DEAR,PERSONALITY
lustigA,lustig::A,1976,MERRY,MERRY,PERSONALITY
sanftA,sanft::A,1954,GENTLE,GENTLE,PERSONALITY
hungrigA,hungrig::A,1533,BE HUNGRY,BE_HUNGRY,HUMAN BODY
krankA,krank::A,1847,SICK,SICK,HUMAN BODY
nacktA,nackt::A,590,NAKED,NAKED,HUMAN BODY
traurigA,traurig::A,699,SAD,SAD,PERSONALITY
lebendigA,lebendig::A,3000,LIVING,LIVING,RELIGION
gutA,gut::A,1035,GOOD,GOOD,THINKING
schlechtA,schlecht::A,1292,BAD,BAD,THINKING
richtigA,richtig::A,1725,CORRECT (RIGHT),CORRECT_(RIGHT),THINKING
schlimmA,schlimm::A,419,SEVERE,SEVERE,THINKING
wahrA,wahr::A,1657,TRUE,TRUE,THINKING
altA,alt::A,1229,OLD,OLD_(USED),TIME
neuA,neu::A,1231,NEW,NEW,TIME
ehemaligA,ehemalig::A,3004,FORMER,FORMER,TIME
altLebewesenA,alt[Lebewesen]::A,2112,OLD (AGED),OLD_(AGED),TIME
jungA,jung::A,1207,YOUNG,YOUNG,TIME
armA,arm::A,1674,POOR,POOR,TRADE
reichA,reich::A,712,RICH,RICH,TRADE
bekanntA,bekannt::A,3005,FAMILIAR,FAMILIAR,THINKING
beruhmtA,berühmt::A,,,FAME,THINKING
fremdA,fremd::A,109,FOREIGN,FOREIGN,THINKING
verschiedenA,verschieden::A,2504,DIFFERENT,DIFFERENT,THINKING
nahA,nah::A,1942,NEAR,NEAR,PLACE
fernA,fern::A,1406,FAR,FAR,PLACE
linkerA,linker::A,244,LEFT,LEFT,PLACE
rechterA,rechter::A,1019,RIGHT,RIGHT,PLACE
andererA,anderer::A,197,OTHER,OTHER,THINKING
ersterA,erster::A,728,FIRST,FIRST,MATHEMATICS
zweiterA,zweiter::A,1384,SECOND,SECOND,MATHEMATICS
dritterA,dritter::A,1859,THIRD,THIRD,MATHEMATICS
letzterA,letzter::A,1529,LAST (FINAL),LAST_(FINAL),MATHEMATICS
alleinADV,allein::ADV,1964,ALONE,ALONE,THINKING
aufeinmalADV,auf einmal::ADV,1963,IMMEDIATELY,ALL_AT_ONCE,THINKING
zusammenADV,zusammen::ADV,2482,TOGETHER,TOGETHER,THINKING
langeADV,lange::ADV,,,FOR_A_LONG_TIME,TIME
plotzlichADV,plötzlich::ADV,2920,SUDDENLY,SUDDENLY,TIME
sofortADV,sofort::ADV,2916,INSTANTLY,INSTANTLY,TIME
spaterADV,später::ADV,,,LATER,TIME
jetztADV,jetzt::ADV,1376,NOW,NOW,TIME
heuteADV,heute::ADV,1283,TODAY,TODAY,TIME
morgenADV,morgen::ADV,1329,TOMORROW,TOMORROW,TIME
baldADV,bald::ADV,703,SOON,SOON,TIME
dannADV,dann::ADV,2921,THEN,THEN,TIME
gesternADV,gestern::ADV,1174,YESTERDAY,YESTERDAY,TIME
einstADV,einst::ADV,2914,ONCE (IN THE PAST),ONCE_(IN_THE_PAST),TIME
damalsADV,damals::ADV,2922,AT THAT TIME,AT_THAT_TIME,TIME
danachADV,danach::ADV,2093,AFTERWARDS,AFTERWARDS,TIME
vorherADV,vorher::ADV,1882,BEFORE,BEFORE,TIME
zuerstADV,zuerst::ADV,2915,AT FIRST,AT_FIRST,TIME
einmalADV,einmal::ADV,374,ONE TIME,ONE_TIME,TIME
manchmalADV,manchmal::ADV,1544,SOMETIMES,SOMETIMES,TIME
oftADV,oft::ADV,1852,OFTEN,OFTEN,TIME
immerADV,immer::ADV,1676,ALWAYS,ALWAYS,TIME
niemalsADV,niemals::ADV,1656,NEVER,NEVER,TIME
hierADV,hier::ADV,136,HERE,HERE,PLACE
hierhinADV,hierhin::ADV,2925,HITHER (HERE TO),HITHER,PLACE
vonhierADV,von hier::ADV,2927,FROM HERE,HENCE,PLACE
dortADV,dort::ADV,1937,THERE,THERE,PLACE
dorthinADV,dorthin::ADV,2923,THITHER (THERE TO),THITHER,PLACE
geradeausADV,geradeaus::ADV,1404,STRAIGHT,AHEAD,PLACE
vorwartsADV,vorwärts::ADV,2912,FORWARD,FORWARD,PLACE
ruckwartsADV,rückwärts::ADV,2911,BACKWARD,BACKWARD,PLACE
zuruckADV,zurück::ADV,2910,BACK (DIRECTION),BACK_(DIRECTION),PLACE
untenADV,unten::ADV,,,DOWN_OR_BELOW,PLACE
hinabADV,hinab::ADV,1326,DOWN,DOWN,PLACE
obenADV,oben::ADV,1741,ABOVE,ABOVE,PLACE
hinaufADV,hinauf::ADV,1591,UP,UP,PLACE
uberallADV,überall::ADV,2999,EVERYWHERE,EVERYWHERE,PLACE
nichtADV,nicht::ADV,1240,NOT,NOT,THINKING
einwenigADV,ein wenig::ADV,2924,A LITTLE,A_LITTLE,THINKING
kaumADV,kaum::ADV,2926,HARDLY,HARDLY,THINKING
sehrADV,sehr::ADV,1311,VERY,VERY,THINKING
soADV,so::ADV,2336,OF THIS KIND (SUCH),SO_(IN_THIS_WAY),THINKING
nochADV,noch::ADV,2919,STILL (CONTINUING),STILL,TIME
nurADV,nur::ADV,1580,ONLY,ONLY,THINKING
schonADV,schon::ADV,2576,ALREADY,ALREADY,TIME
wiederADV,wieder::ADV,204,AGAIN,AGAIN,TIME
vergebensADV,vergebens::ADV,1765,IN VAIN,IN_VAIN,THINKING
vorPRP,vor::PRP,1883,IN FRONT OF,IN_FRONT_OF,PLACE
hinterPRP,hinter::PRP,1686,BEHIND,BEHIND,PLACE
unterPRP,unter::PRP,,,BELOW_OR_UNDER,PLACE
durchPRP,durch::PRP,97,THROUGH,THROUGH,PLACE
nebenPRP,neben::PRP,2917,NEXT TO,NEXT_TO,PLACE
zwischenPRP,zwischen::PRP,689,BETWEEN,BETWEEN,PLACE
wegenPRP,wegen::PRP,2918,BECAUSE OF,BECAUSE_OF,THINKING
diesPRN,dies::PRN,1214,THIS,THIS,PRONOUNS
dasPRN,das::PRN,78,THAT,THAT,PRONOUNS
allesPRN,alles::PRN,98,ALL,ALL,PRONOUNS
ichPRN,ich::PRN,1209,I,I,PRONOUNS
duPRN,du::PRN,1215,THOU,THOU,PRONOUNS
erPRN,er::PRN,262,HE OR SHE OR IT,HE_OR_SHE_OR_IT,PRONOUNS
wirPRN,wir::PRN,1212,WE,WE,PRONOUNS
ihrPRN,ihr::PRN,1213,YOU,YOU,PRONOUNS
siePRN,sie::PRN,817,THEY,THEY,PRONOUNS
wasFPRN,was::FPRN,1236,WHAT,WHAT,QUESTIONS
werFPRN,wer::FPRN,1235,WHO,WHO,QUESTIONS
woFADV,wo::FADV,1237,WHERE,WHERE,QUESTIONS
wohinFADV,wohin::FADV,2928,WHITHER (WHERE TO),WHITHER,QUESTIONS
wieFADV,wie::FADV,1239,HOW,HOW,QUESTIONS
warumFADV,warum::FADV,1270,WHY,WHY,QUESTIONS
wievielFNUM,wieviel::FNUM,531,HOW MUCH,HOW_MUCH,QUESTIONS
einsNUM,eins::NUM,1493,ONE,ONE,MATHEMATICS
zweiNUM,zwei::NUM,1498,TWO,TWO,MATHEMATICS
dreiNUM,drei::NUM,492,THREE,THREE,MATHEMATICS
vierNUM,vier::NUM,1500,FOUR,FOUR,MATHEMATICS
funfNUM,fünf::NUM,493,FIVE,FIVE,MATHEMATICS
sechsNUM,sechs::NUM,1703,SIX,SIX,MATHEMATICS
siebenNUM,sieben::NUM,1704,SEVEN,SEVEN,MATHEMATICS
achtNUM,acht::NUM,1705,EIGHT,EIGHT,MATHEMATICS
neunNUM,neun::NUM,1483,NINE,NINE,MATHEMATICS
zehnNUM,zehn::NUM,1515,TEN,TEN,MATHEMATICS
elfNUM,elf::NUM,1706,ELEVEN,ELEVEN,MATHEMATICS
zwolfNUM,zwölf::NUM,1707,TWELVE,TWELVE,MATHEMATICS
zwanzigNUM,zwanzig::NUM,1710,TWENTY,TWENTY,MATHEMATICS
dreiigNUM,dreißig::NUM,1715,THIRTY,THIRTY,MATHEMATICS
vierzigNUM,vierzig::NUM,1716,FORTY,FORTY,MATHEMATICS
funfzigNUM,fünfzig::NUM,1717,FIFTY,FIFTY,MATHEMATICS
sechzigNUM,sechzig::NUM,1718,SIXTY,SIXTY,MATHEMATICS
siebzigNUM,siebzig::NUM,1721,SEVENTY,SEVENTY,MATHEMATICS
achtzigNUM,achtzig::NUM,1722,EIGHTY,EIGHTY,MATHEMATICS
neunzigNUM,neunzig::NUM,1724,NINETY,NINETY,MATHEMATICS
hundertNUM,hundert::NUM,1634,HUNDRED,HUNDRED,MATHEMATICS
tausendNUM,tausend::NUM,1843,THOUSAND,THOUSAND,MATHEMATICS
undCNJ,und::CNJ,1577,AND,AND,THINKING
oderCNJ,oder::CNJ,1014,OR,OR,THINKING
stehenV,stehen::V,1442,STAND,STAND,PLACE
sitzenV,sitzen::V,1416,SIT,SIT,PLACE
liegenV,liegen::V,1411,LIE (REST),LIE_(REST),PLACE
hangenV,hängen::V,2884,HANG,HANG,PLACE
werdenV,werden::V,1990,BECOME,BECOME,TIME
passierenV,passieren::V,248,HAPPEN,HAPPEN,TIME
beginnenV,beginnen::V,,,START,TIME
